player_name,position,player_id,partidos,titularidades,rating_prom,rating_max,minutos_total,minutos_prom,goles,asistencias,xG_total,tiros_arco,tiros_fuera,tiros_totales,pase_pct_prom,pases_precisos_total,pases_totales_total,duelos_ganados,duelos_totales,duelos_pct_prom,recuperaciones,dribbles,centros,intercepciones,entradas_total,entradas_ganadas,amarillas,rojas,g_a_per90_prom,passes_per90_prom,recoveries_per90_prom,duelos_aereos_ganados,duelos_aereos_total,duelos_aereos_pct,faltas_cometidas,faltas_recibidas,grandes_ocasiones_falladas,grandes_ocasiones_creadas,palos,despejes,regates_intentados,regates_ganados,toques_malos,fueras_juego,atajadas,contribuciones_gol,position_group,foto_url,team
Carlos Cuesta,D,839095,2,1,"7,0","7,0","45,0","45,0",0,0,0,0,0,"0,0","100,0","20,0","20,0","1,0","2,0","50,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,"0,0","40,0","0,0","1,0","1,0","100,0","1,0","0,0","0,0","0,0","0,0","1,0","0,0","0,0","1,0","0,0","0,0",0,DEF,https://api.sofascore.app/api/v1/player/839095/image,Colombia
Jhon Arias,M,844096,8,4,"6,99","8,2","329,0","47,0",1,0,0,4,2,"8,0","87,86","144,0","157,0","23,0","39,0","67,31","23,0","50,0","12,0","1,0","12,0","5,0",0,0,"0,18","40,29","6,79","1,0","2,0","50,0","4,0","8,0","0,0","0,0","0,0","3,0","6,0","2,0","5,0","0,0","0,0",1,MID,https://api.sofascore.app/api/v1/player/844096/image,Colombia
Gustavo Puerta,M,1174889,6,2,"6,98","8,0","217,0","43,4",1,0,0,2,1,"5,0","87,38","144,0","162,0","16,0","33,0","46,66","12,0","36,0","1,0","4,0","6,0","5,0",0,0,"0,28","66,0","5,74","2,0","5,0","33,33","10,0","7,0","0,0","0,0","0,0","3,0","2,0","1,0","1,0","0,0","0,0",1,MID,https://api.sofascore.app/api/v1/player/1174889/image,Colombia
Jefferson Lerma,M,355796,10,7,"6,96","8,0","607,0","67,44",2,1,0,4,3,"9,0","83,69","285,0","339,0","25,0","55,0","54,96","33,0","40,0","0,0","13,0","14,0","5,0",0,0,"1,34","64,74","7,48","9,0","16,0","68,0","13,0","2,0","0,0","1,0","0,0","13,0","2,0","0,0","5,0","0,0","0,0",3,MID,https://api.sofascore.app/api/v1/player/355796/image,Colombia
Jhon Córdoba,F,281253,7,2,"6,96","7,4","244,0","48,8",2,0,0,5,4,"11,0","87,8","23,0","26,0","9,0","23,0","50,34","5,0","7,0","0,0","0,0","0,0","0,0",0,0,"1,08","7,94","1,32","2,0","5,0","44,43","5,0","6,0","2,0","0,0","0,0","2,0","2,0","1,0","3,0","2,0","0,0",2,FWD,https://api.sofascore.app/api/v1/player/281253/image,Colombia
Álvaro Angulo,D,824511,6,3,"6,87","7,8","270,0","90,0",0,0,0,0,1,"1,0","81,67","92,0","111,0","14,0","24,0","60,5","9,0","0,0","2,0","5,0","6,0","5,0",0,0,"0,0","30,67","3,0","4,0","8,0","63,9","4,0","4,0","0,0","0,0","0,0","11,0","1,0","0,0","1,0","1,0","0,0",0,DEF,https://api.sofascore.app/api/v1/player/824511/image,Colombia
Yáser Asprilla,M,1092769,4,1,"6,87","7,5","137,0","45,67",0,0,0,2,1,"4,0","89,03","64,0","72,0","11,0","19,0","61,2","3,0","0,0","8,0","0,0","3,0","2,0",0,0,"0,0","40,2","2,67","0,0","0,0",,"3,0","2,0","1,0","0,0","0,0","0,0","9,0","6,0","3,0","0,0","0,0",0,MID,https://api.sofascore.app/api/v1/player/1092769/image,Colombia
David Ospina,G,33596,10,1,"6,85","7,2","106,0","53,0",0,0,0,0,0,"0,0","68,9","23,0","39,0","0,0","0,0",,"14,0","4,0","0,0","0,0","0,0","0,0",0,0,"0,0","23,05","11,6","0,0","0,0",,"0,0","0,0","0,0","0,0","0,0","2,0","0,0","0,0","0,0","0,0","2,0",0,GK,https://api.sofascore.app/api/v1/player/33596/image,Colombia
Jorge Carrascal,M,590392,7,1,"6,82","7,0","106,0","26,5",0,1,0,1,2,"3,0","91,68","51,0","55,0","8,0","14,0","56,68","7,0","18,0","4,0","0,0","7,0","4,0",0,0,"0,5","53,78","8,62","0,0","0,0",,"4,0","0,0","0,0","1,0","0,0","1,0","2,0","1,0","1,0","0,0","0,0",1,MID,https://api.sofascore.app/api/v1/player/590392/image,Colombia
Kevin Castaño,M,1066915,9,3,"6,74","7,1","323,0","46,14",0,1,0,0,0,"0,0","91,9","194,0","212,0","15,0","37,0","37,69","15,0","37,0","1,0","2,0","8,0","5,0",0,0,"0,18","67,2","3,61","3,0","5,0","66,65","9,0","4,0","0,0","2,0","0,0","3,0","2,0","0,0","3,0","0,0","0,0",1,MID,https://api.sofascore.app/api/v1/player/1066915/image,Colombia
